date,courier_id,work_hours,deliveries,bmi,avg_hr,steps
2024-01-01,C_01,9.1,128,23.7,76.9,24762
2024-01-02,C_01,10.8,96,24.4,90.2,17560
2024-01-03,C_01,10.4,123,27.5,88.5,20415
2024-01-04,C_01,10.0,107,23.1,80.7,18391
2024-01-05,C_01,9.2,109,27.7,73.4,26157
2024-01-06,C_01,9.3,108,27.2,90.1,26835
2024-01-07,C_01,10.9,125,21.6,85.6,20951
2024-01-08,C_01,9.4,85,20.6,93.2,20468
2024-01-09,C_01,8.1,114,20.8,85.6,23007
2024-01-10,C_01,8.2,120,20.1,95.6,27042
2024-01-11,C_01,7.7,116,20.8,86.6,24064
2024-01-12,C_01,7.1,103,25.5,86.8,24444
2024-01-13,C_01,8.7,108,20.6,96.3,21413
2024-01-14,C_01,8.6,128,22.6,82.1,29139
2024-01-15,C_01,8.2,125,26.8,74.0,21941
2024-01-16,C_01,7.1,110,20.2,70.9,24506
2024-01-17,C_01,7.8,114,26.5,92.7,19820
2024-01-18,C_01,9.8,112,22.3,88.6,29340
2024-01-19,C_01,10.2,100,20.9,91.1,17898
2024-01-20,C_01,9.4,111,25.6,76.4,22546
2024-01-21,C_01,10.7,102,25.0,74.1,15077
2024-01-22,C_01,9.6,112,27.0,70.4,22577
2024-01-23,C_01,10.7,82,25.9,80.5,25813
2024-01-24,C_01,10.4,97,26.4,87.7,19227
2024-01-25,C_01,8.8,104,22.3,81.8,15600
2024-01-26,C_01,7.4,121,21.4,83.1,29060
2024-01-27,C_01,8.5,110,26.0,97.1,16065
2024-01-28,C_01,9.7,82,26.5,80.4,17136
2024-01-29,C_01,9.7,119,27.9,85.4,25641
2024-01-30,C_01,9.4,125,23.3,93.5,25535
2024-01-31,C_01,8.1,103,23.0,81.9,25055
2024-02-01,C_01,9.2,129,26.2,88.7,24510
2024-02-02,C_01,8.5,111,22.7,95.9,27903
2024-02-03,C_01,10.9,126,27.4,98.5,26789
2024-02-04,C_01,10.4,101,26.9,74.4,21943
2024-02-05,C_01,9.9,102,23.4,97.8,26954
2024-02-06,C_01,7.9,81,26.0,84.8,22804
2024-02-07,C_01,8.0,106,26.0,77.7,21565
2024-02-08,C_01,7.2,121,20.8,83.8,20984
2024-02-09,C_01,9.8,81,27.2,99.4,20142
2024-02-10,C_01,7.4,105,24.0,84.8,19670
2024-02-11,C_01,8.8,96,26.6,79.9,17190
2024-02-12,C_01,7.8,119,22.6,89.0,24184
2024-02-13,C_01,10.6,112,27.2,77.2,17712
2024-02-14,C_01,8.9,88,23.1,72.3,17192
2024-02-15,C_01,9.3,122,20.1,73.9,16248
2024-02-16,C_01,9.8,127,27.2,73.8,26246
2024-02-17,C_01,7.6,118,20.7,74.6,27790
2024-02-18,C_01,9.4,108,22.6,74.2,19033
2024-02-19,C_01,9.2,121,27.6,89.2,16997
2024-02-20,C_01,7.8,105,27.6,75.5,28108
2024-02-21,C_01,10.8,114,24.6,80.4,18687
2024-02-22,C_01,9.4,129,25.1,96.9,25343
2024-02-23,C_01,9.8,104,23.6,84.2,19018
2024-02-24,C_01,10.5,103,22.3,90.0,26302
2024-02-25,C_01,9.5,92,22.6,75.2,16970
2024-02-26,C_01,8.2,86,25.4,75.8,23389
2024-02-27,C_01,7.4,115,26.0,71.2,20765
2024-02-28,C_01,8.8,124,26.3,75.1,25818
2024-02-29,C_01,7.9,99,26.3,78.4,29726
2024-03-01,C_01,8.7,80,20.7,75.3,16202
2024-03-02,C_01,10.5,87,24.0,72.7,23135
2024-03-03,C_01,8.3,125,20.5,73.6,29889
2024-03-04,C_01,7.5,95,24.4,83.8,20567
2024-03-05,C_01,8.4,93,23.5,76.2,22667
2024-03-06,C_01,10.6,91,27.1,80.9,20742
2024-03-07,C_01,8.1,102,22.8,85.1,20788
2024-03-08,C_01,9.6,94,20.9,90.7,20408
2024-03-09,C_01,7.0,107,21.1,71.2,25227
2024-03-10,C_01,8.4,113,26.1,94.0,23669
2024-03-11,C_01,8.2,81,24.9,88.8,24446
2024-03-12,C_01,7.7,111,20.8,72.5,15922
2024-03-13,C_01,9.1,102,20.7,96.2,15419
2024-03-14,C_01,8.9,101,25.6,97.6,17204
2024-03-15,C_01,9.8,104,20.6,71.8,25789
2024-03-16,C_01,8.1,101,26.6,78.3,16120
2024-03-17,C_01,8.0,101,25.6,94.2,26260
2024-03-18,C_01,7.7,128,20.7,92.4,15950
2024-03-19,C_01,7.9,121,20.7,75.5,17336
2024-03-20,C_01,9.2,85,27.9,76.3,20373
2024-03-21,C_01,8.6,94,23.0,81.1,17243
2024-03-22,C_01,7.3,122,23.0,84.5,17645
2024-03-23,C_01,8.0,116,26.5,88.5,25049
2024-03-24,C_01,8.0,112,27.6,81.1,19612
2024-03-25,C_01,9.8,87,27.9,83.9,28946
2024-03-26,C_01,9.8,123,26.0,92.4,16865
2024-03-27,C_01,7.6,123,23.0,71.1,26104
2024-03-28,C_01,11.0,84,20.7,77.6,28429
2024-03-29,C_01,8.1,118,26.2,91.4,26045
2024-03-30,C_01,10.9,83,24.5,96.9,21028
2024-03-31,C_01,8.6,85,23.4,85.4,22326
2024-04-01,C_01,7.1,124,27.3,86.0,28102
2024-04-02,C_01,8.4,111,20.9,73.2,21371
2024-04-03,C_01,9.5,109,23.9,83.4,29188
2024-04-04,C_01,9.7,126,20.1,86.0,21359
2024-04-05,C_01,9.1,114,23.7,77.3,22863
2024-04-06,C_01,8.8,119,20.5,78.1,29350
2024-04-07,C_01,9.2,95,21.0,81.3,18228
2024-04-08,C_01,9.4,92,20.9,70.6,18719
2024-04-09,C_01,7.3,129,25.2,79.7,26420
2024-04-10,C_01,8.5,121,26.0,76.3,29382
2024-04-11,C_01,8.0,109,24.7,79.8,17371
2024-04-12,C_01,10.2,98,27.7,73.6,17891
2024-04-13,C_01,8.9,96,23.0,96.7,18756
2024-04-14,C_01,10.9,98,22.3,87.8,19225
2024-04-15,C_01,8.6,107,26.9,90.4,15094
2024-04-16,C_01,10.3,105,21.8,93.7,17674
2024-04-17,C_01,10.2,116,27.7,85.0,21898
2024-04-18,C_01,7.6,105,20.1,72.6,25147
2024-04-19,C_01,9.0,102,27.8,86.1,15793
2024-04-20,C_01,9.8,88,20.3,87.6,25026
2024-04-21,C_01,10.4,91,27.1,92.4,17116
2024-04-22,C_01,8.3,80,24.2,82.9,20779
2024-04-23,C_01,7.9,80,27.9,73.8,27298
2024-04-24,C_01,9.8,126,20.6,78.5,26517
2024-04-25,C_01,10.2,113,24.4,80.9,29153
2024-04-26,C_01,8.4,111,27.8,89.4,26111
2024-04-27,C_01,7.4,127,24.2,87.1,25789
2024-04-28,C_01,10.8,104,25.0,80.7,26397
2024-04-29,C_01,8.6,119,25.6,99.6,27999
2024-04-30,C_01,9.1,124,23.6,88.2,21166
2024-05-01,C_01,10.4,80,25.0,77.1,15814
2024-05-02,C_01,9.7,95,24.7,73.1,15345
2024-05-03,C_01,9.9,118,27.2,74.6,25541
2024-05-04,C_01,7.8,84,20.4,77.4,23554
2024-05-05,C_01,9.2,101,22.2,74.8,17443
2024-05-06,C_01,9.8,108,27.6,75.6,25457
2024-05-07,C_01,7.9,82,27.1,78.6,25380
2024-05-08,C_01,7.7,91,23.6,75.2,22783
2024-05-09,C_01,10.9,105,25.0,96.9,26197
2024-05-10,C_01,9.1,95,22.2,72.4,26473
2024-05-11,C_01,8.0,116,21.5,85.7,15984
2024-05-12,C_01,11.0,101,23.7,82.3,22790
2024-05-13,C_01,10.9,108,22.8,99.5,24831
2024-05-14,C_01,9.2,93,24.7,73.4,15827
2024-05-15,C_01,10.5,107,20.6,81.9,25922
2024-05-16,C_01,7.8,84,27.8,99.1,18531
